DateKey,FullDate,Day,Month,MonthName,Quarter,Year,Week,DayOfWeek,IsWeekend
20110531,2011-05-31,31,5,May,Q2,2011,22,Tuesday,False
20110601,2011-06-01,1,6,June,Q2,2011,22,Wednesday,False
20110602,2011-06-02,2,6,June,Q2,2011,22,Thursday,False
20110603,2011-06-03,3,6,June,Q2,2011,22,Friday,False
20110604,2011-06-04,4,6,June,Q2,2011,22,Saturday,True
20110605,2011-06-05,5,6,June,Q2,2011,22,Sunday,True
20110606,2011-06-06,6,6,June,Q2,2011,23,Monday,False
20110607,2011-06-07,7,6,June,Q2,2011,23,Tuesday,False
20110608,2011-06-08,8,6,June,Q2,2011,23,Wednesday,False
20110609,2011-06-09,9,6,June,Q2,2011,23,Thursday,False
20110610,2011-06-10,10,6,June,Q2,2011,23,Friday,False
20110611,2011-06-11,11,6,June,Q2,2011,23,Saturday,True
20110612,2011-06-12,12,6,June,Q2,2011,23,Sunday,True
20110613,2011-06-13,13,6,June,Q2,2011,24,Monday,False
20110614,2011-06-14,14,6,June,Q2,2011,24,Tuesday,False
20110615,2011-06-15,15,6,June,Q2,2011,24,Wednesday,False
20110616,2011-06-16,16,6,June,Q2,2011,24,Thursday,False
20110617,2011-06-17,17,6,June,Q2,2011,24,Friday,False
20110618,2011-06-18,18,6,June,Q2,2011,24,Saturday,True
20110619,2011-06-19,19,6,June,Q2,2011,24,Sunday,True
20110620,2011-06-20,20,6,June,Q2,2011,25,Monday,False
20110621,2011-06-21,21,6,June,Q2,2011,25,Tuesday,False
20110622,2011-06-22,22,6,June,Q2,2011,25,Wednesday,False
20110623,2011-06-23,23,6,June,Q2,2011,25,Thursday,False
20110624,2011-06-24,24,6,June,Q2,2011,25,Friday,False
20110625,2011-06-25,25,6,June,Q2,2011,25,Saturday,True
20110626,2011-06-26,26,6,June,Q2,2011,25,Sunday,True
20110627,2011-06-27,27,6,June,Q2,2011,26,Monday,False
20110628,2011-06-28,28,6,June,Q2,2011,26,Tuesday,False
20110629,2011-06-29,29,6,June,Q2,2011,26,Wednesday,False
20110630,2011-06-30,30,6,June,Q2,2011,26,Thursday,False
20110701,2011-07-01,1,7,July,Q3,2011,26,Friday,False
20110702,2011-07-02,2,7,July,Q3,2011,26,Saturday,True
20110703,2011-07-03,3,7,July,Q3,2011,26,Sunday,True
20110704,2011-07-04,4,7,July,Q3,2011,27,Monday,False
20110705,2011-07-05,5,7,July,Q3,2011,27,Tuesday,False
20110706,2011-07-06,6,7,July,Q3,2011,27,Wednesday,False
20110707,2011-07-07,7,7,July,Q3,2011,27,Thursday,False
20110708,2011-07-08,8,7,July,Q3,2011,27,Friday,False
